_id,date,icu_unvac,icu_partial_vac,icu_full_vac,hospitalnonicu_unvac,hospitalnonicu_partial_vac,hospitalnonicu_full_vac
1,2021-08-10T00:00:00,22,3,0,23,4,11
2,2021-08-11T00:00:00,37,5,2,34,7,8
3,2021-08-12T00:00:00,45,5,2,44,7,9
4,2021-08-13T00:00:00,52,5,3,65,6,8
5,2021-08-14T00:00:00,53,4,1,67,6,11
6,2021-08-15T00:00:00,44,6,1,58,4,14
7,2021-08-16T00:00:00,48,9,1,55,4,17
8,2021-08-17T00:00:00,54,6,3,67,8,15
9,2021-08-18T00:00:00,58,6,5,80,10,16
10,2021-08-19T00:00:00,55,7,6,76,9,14
11,2021-08-20T00:00:00,68,7,5,86,11,20
12,2021-08-21T00:00:00,67,9,7,103,9,23
13,2021-08-22T00:00:00,59,9,8,83,7,24
14,2021-08-23T00:00:00,63,10,8,102,9,23
15,2021-08-24T00:00:00,71,10,7,131,13,28
16,2021-08-25T00:00:00,81,9,9,137,11,30
17,2021-08-26T00:00:00,89,9,10,138,14,31
18,2021-08-27T00:00:00,89,8,9,141,16,27
19,2021-08-28T00:00:00,89,7,8,149,19,30
20,2021-08-29T00:00:00,69,9,11,119,15,35
21,2021-08-30T00:00:00,72,8,11,118,13,35
22,2021-08-31T00:00:00,87,8,10,152,19,34
23,2021-09-01T00:00:00,93,6,11,163,14,37
24,2021-09-02T00:00:00,90,8,14,143,12,28
25,2021-09-03T00:00:00,103,8,12,145,17,34
26,2021-09-04T00:00:00,106,7,12,153,16,33
27,2021-09-05T00:00:00,94,7,13,129,13,28
28,2021-09-06T00:00:00,93,7,12,136,14,25
29,2021-09-07T00:00:00,94,5,9,135,13,32
30,2021-09-08T00:00:00,114,7,8,162,14,28
31,2021-09-09T00:00:00,108,8,11,149,9,34
32,2021-09-10T00:00:00,112,9,14,163,18,31
33,2021-09-11T00:00:00,103,8,15,159,12,42
34,2021-09-12T00:00:00,87,9,12,141,11,33
35,2021-09-13T00:00:00,78,7,10,126,9,28
36,2021-09-14T00:00:00,108,9,9,146,8,40
37,2021-09-15T00:00:00,117,10,10,148,7,35
38,2021-09-16T00:00:00,118,10,13,150,9,30
39,2021-09-17T00:00:00,120,9,13,135,10,32
40,2021-09-18T00:00:00,116,10,11,132,10,35
41,2021-09-19T00:00:00,99,7,10,100,11,35
42,2021-09-20T00:00:00,98,8,7,104,8,30
43,2021-09-21T00:00:00,109,9,9,118,11,29
44,2021-09-22T00:00:00,102,10,9,123,8,28
45,2021-09-23T00:00:00,108,12,12,117,9,33
46,2021-09-24T00:00:00,110,11,11,120,10,38
47,2021-09-25T00:00:00,105,11,7,129,9,42
48,2021-09-26T00:00:00,95,9,6,105,6,41
49,2021-09-27T00:00:00,85,7,7,104,6,39
50,2021-09-28T00:00:00,107,9,8,116,8,38
51,2021-09-29T00:00:00,99,10,8,123,7,32
52,2021-09-30T00:00:00,93,10,8,125,10,32
53,2021-10-01T00:00:00,94,8,7,115,10,28
54,2021-10-02T00:00:00,94,8,7,115,8,31
55,2021-10-03T00:00:00,84,6,8,95,10,28
56,2021-10-04T00:00:00,77,6,8,96,10,26
57,2021-10-05T00:00:00,78,8,8,106,8,41
58,2021-10-06T00:00:00,75,7,12,121,11,46
59,2021-10-07T00:00:00,74,10,14,95,12,49
60,2021-10-08T00:00:00,73,11,14,104,11,41
61,2021-10-09T00:00:00,64,6,14,92,12,38
62,2021-10-10T00:00:00,59,6,16,89,6,36
63,2021-10-11T00:00:00,64,6,16,86,6,36
64,2021-10-12T00:00:00,70,6,22,95,9,34
65,2021-10-13T00:00:00,68,6,14,100,11,33
66,2021-10-14T00:00:00,80,6,13,99,13,35
67,2021-10-15T00:00:00,82,7,16,97,10,39
68,2021-10-16T00:00:00,77,3,18,100,9,32
69,2021-10-17T00:00:00,79,5,21,99,8,36
70,2021-10-18T00:00:00,77,5,22,92,8,36
71,2021-10-19T00:00:00,79,4,26,106,11,37
72,2021-10-20T00:00:00,79,6,22,116,11,31
73,2021-10-21T00:00:00,73,7,20,129,8,39
74,2021-10-22T00:00:00,75,8,21,116,12,36
75,2021-10-23T00:00:00,72,6,16,119,13,38
76,2021-10-24T00:00:00,63,5,17,122,15,36
77,2021-10-25T00:00:00,59,5,21,120,13,36
78,2021-10-26T00:00:00,63,5,17,111,14,33
79,2021-10-27T00:00:00,65,7,19,96,13,30
80,2021-10-28T00:00:00,62,8,16,94,12,30
81,2021-10-29T00:00:00,64,8,14,100,12,32
82,2021-10-30T00:00:00,72,5,15,91,13,39
83,2021-10-31T00:00:00,48,3,14,95,9,45
84,2021-11-01T00:00:00,62,7,13,93,12,45
85,2021-11-02T00:00:00,67,5,16,96,14,49
86,2021-11-03T00:00:00,66,6,14,82,13,64
87,2021-11-04T00:00:00,64,5,16,78,11,60
88,2021-11-05T00:00:00,59,2,12,83,12,59
89,2021-11-06T00:00:00,56,3,16,81,14,55
90,2021-11-07T00:00:00,51,3,15,74,12,52
91,2021-11-08T00:00:00,52,2,15,77,10,59
92,2021-11-09T00:00:00,54,3,20,82,9,72
93,2021-11-10T00:00:00,56,4,16,76,12,61
94,2021-11-11T00:00:00,62,4,18,90,15,67
95,2021-11-12T00:00:00,65,4,13,90,18,71
96,2021-11-13T00:00:00,66,3,15,81,16,74
97,2021-11-14T00:00:00,62,5,16,87,17,78
98,2021-11-15T00:00:00,62,3,18,102,18,81
99,2021-11-16T00:00:00,64,4,19,102,17,76
100,2021-11-17T00:00:00,62,5,19,92,16,70
101,2021-11-18T00:00:00,60,4,16,90,14,72
102,2021-11-19T00:00:00,55,6,12,98,13,64
103,2021-11-20T00:00:00,59,5,17,91,12,67
104,2021-11-21T00:00:00,58,4,18,86,10,60
105,2021-11-22T00:00:00,59,3,13,95,11,58
106,2021-11-23T00:00:00,60,2,17,98,10,67
107,2021-11-24T00:00:00,65,3,14,104,5,59
108,2021-11-25T00:00:00,62,2,10,99,6,45
109,2021-11-26T00:00:00,62,3,10,89,9,47
110,2021-11-27T00:00:00,60,3,11,83,8,48
111,2021-11-28T00:00:00,61,3,14,75,10,50
112,2021-11-29T00:00:00,61,4,13,89,10,53
113,2021-11-30T00:00:00,64,5,19,92,11,52
114,2021-12-01T00:00:00,58,5,22,97,12,52
115,2021-12-02T00:00:00,66,5,26,93,11,51
116,2021-12-03T00:00:00,70,5,27,91,12,61
117,2021-12-04T00:00:00,65,4,24,93,12,66
118,2021-12-05T00:00:00,66,4,25,95,10,67
119,2021-12-06T00:00:00,62,3,18,113,9,75
120,2021-12-07T00:00:00,70,3,20,122,10,77
121,2021-12-08T00:00:00,74,10,26,104,15,78
122,2021-12-09T00:00:00,66,5,25,106,8,78
123,2021-12-10T00:00:00,69,6,30,103,11,76
124,2021-12-11T00:00:00,69,3,26,168,14,84
125,2021-12-12T00:00:00,74,5,28,184,10,74
126,2021-12-13T00:00:00,70,5,32,108,16,79
127,2021-12-14T00:00:00,71,6,32,132,12,87
128,2021-12-15T00:00:00,78,4,30,121,11,85
129,2021-12-16T00:00:00,74,7,25,131,7,73
130,2021-12-17T00:00:00,76,5,33,118,9,85
131,2021-12-18T00:00:00,75,5,33,121,9,89
132,2021-12-19T00:00:00,76,1,31,115,10,94
133,2021-12-20T00:00:00,83,6,26,129,9,102
134,2021-12-21T00:00:00,88,4,37,142,11,118
135,2021-12-22T00:00:00,84,3,39,141,13,113
136,2021-12-23T00:00:00,86,5,32,123,12,144
137,2021-12-24T00:00:00,83,3,28,138,13,163
138,2021-12-25T00:00:00,73,2,38,155,10,191
139,2021-12-26T00:00:00,79,2,32,150,28,216
140,2021-12-27T00:00:00,81,2,47,160,27,228
141,2021-12-28T00:00:00,75,5,38,180,31,304
142,2021-12-29T00:00:00,77,5,42,176,36,375
143,2021-12-30T00:00:00,78,6,45,224,42,425
144,2021-12-31T00:00:00,87,8,48,232,54,572
145,2022-01-01T00:00:00,85,8,56,270,60,677
146,2022-01-02T00:00:00,94,8,64,287,64,736
147,2022-01-03T00:00:00,86,7,62,322,82,814
148,2022-01-04T00:00:00,99,10,76,371,99,978
149,2022-01-05T00:00:00,111,13,93,413,108,1107
150,2022-01-06T00:00:00,121,28,87,437,96,1157
151,2022-01-07T00:00:00,118,17,106,444,99,1331
152,2022-01-08T00:00:00,122,18,138,457,115,1367
153,2022-01-09T00:00:00,125,14,142,484,125,1488
154,2022-01-10T00:00:00,126,15,153,549,136,1572
155,2022-01-11T00:00:00,139,15,159,555,125,1643
156,2022-01-12T00:00:00,159,19,169,674,163,1817
157,2022-01-13T00:00:00,166,15,183,695,179,1897
158,2022-01-14T00:00:00,170,19,187,683,167,2040
159,2022-01-15T00:00:00,196,17,197,740,191,2059
160,2022-01-16T00:00:00,194,24,192,730,175,2052
161,2022-01-17T00:00:00,207,23,220,760,174,2119
162,2022-01-18T00:00:00,198,20,212,760,187,2087
163,2022-01-19T00:00:00,185,18,224,771,172,2037
164,2022-01-20T00:00:00,208,16,263,740,176,2104
165,2022-01-21T00:00:00,232,18,281,749,187,2103
166,2022-01-22T00:00:00,216,17,227,784,191,2081
167,2022-01-23T00:00:00,216,20,244,739,173,1991
168,2022-01-24T00:00:00,204,18,246,760,172,1953
169,2022-01-25T00:00:00,202,18,210,783,191,1981
170,2022-01-26T00:00:00,210,20,244,762,219,1884
171,2022-01-27T00:00:00,204,19,221,710,163,1864
172,2022-01-28T00:00:00,211,22,230,682,161,1795
173,2022-01-29T00:00:00,199,18,231,669,153,1753
174,2022-01-30T00:00:00,183,17,233,632,141,1649
175,2022-01-31T00:00:00,196,17,221,623,139,1661
176,2022-02-01T00:00:00,184,13,217,589,151,1670
177,2022-02-02T00:00:00,179,19,207,573,127,1497
178,2022-02-03T00:00:00,185,16,214,538,114,1395
179,2022-02-04T00:00:00,161,19,179,522,111,1333
180,2022-02-05T00:00:00,158,10,174,484,100,1265
181,2022-02-06T00:00:00,144,9,170,411,87,1141
182,2022-02-07T00:00:00,141,11,201,396,79,1082
183,2022-02-08T00:00:00,144,16,173,452,81,1159
184,2022-02-09T00:00:00,140,11,180,424,84,1067
185,2022-02-10T00:00:00,122,12,168,408,81,966
186,2022-02-11T00:00:00,118,15,160,379,87,980
187,2022-02-12T00:00:00,117,15,151,359,85,883
188,2022-02-13T00:00:00,114,12,140,302,73,800
189,2022-02-14T00:00:00,111,11,126,286,65,823
190,2022-02-15T00:00:00,117,13,138,283,67,795
191,2022-02-16T00:00:00,101,12,114,286,58,743
192,2022-02-17T00:00:00,105,14,115,282,55,723
193,2022-02-18T00:00:00,102,10,111,273,51,687
194,2022-02-19T00:00:00,92,10,100,226,42,648
195,2022-02-20T00:00:00,88,10,85,218,42,598
196,2022-02-21T00:00:00,86,6,98,254,42,582
197,2022-02-22T00:00:00,85,7,94,228,37,599
198,2022-02-23T00:00:00,85,5,90,253,37,576
199,2022-02-24T00:00:00,75,8,98,242,34,597
200,2022-02-25T00:00:00,71,7,92,242,29,561
201,2022-02-26T00:00:00,71,6,86,228,26,591
202,2022-02-27T00:00:00,64,6,81,207,31,540
203,2022-02-28T00:00:00,71,8,104,210,30,503
204,2022-03-01T00:00:00,63,5,88,222,38,514
205,2022-03-02T00:00:00,65,6,77,199,39,476
206,2022-03-03T00:00:00,63,4,79,191,33,442
207,2022-03-04T00:00:00,58,6,73,195,35,425
208,2022-03-05T00:00:00,62,5,66,182,36,432
209,2022-03-06T00:00:00,54,5,61,147,35,412
210,2022-03-07T00:00:00,55,8,61,150,34,402
211,2022-03-08T00:00:00,50,8,69,167,27,412
212,2022-03-09T00:00:00,51,5,71,153,31,405
213,2022-03-10T00:00:00,49,4,77,157,30,381
214,2022-03-11T00:00:00,47,4,73,154,29,376
215,2022-03-12T00:00:00,46,6,79,150,24,392
216,2022-03-13T00:00:00,39,6,68,138,18,374
217,2022-03-14T00:00:00,39,5,67,128,25,371
218,2022-03-15T00:00:00,42,5,66,118,24,382
219,2022-03-16T00:00:00,36,4,62,128,18,380
220,2022-03-17T00:00:00,35,4,66,113,17,390
221,2022-03-18T00:00:00,34,3,61,120,18,375
222,2022-03-19T00:00:00,34,5,60,118,18,367
223,2022-03-20T00:00:00,32,4,53,103,17,376
224,2022-03-21T00:00:00,38,4,55,119,26,383
225,2022-03-22T00:00:00,39,3,54,130,26,390
226,2022-03-23T00:00:00,33,2,57,123,27,381
227,2022-03-24T00:00:00,33,3,63,133,23,409
228,2022-03-25T00:00:00,32,3,65,126,23,404
229,2022-03-26T00:00:00,29,3,65,133,22,444
230,2022-03-27T00:00:00,26,1,65,123,29,411
231,2022-03-28T00:00:00,27,2,65,135,35,462
232,2022-03-29T00:00:00,25,2,61,154,32,472
233,2022-03-30T00:00:00,25,3,63,148,27,485
234,2022-03-31T00:00:00,27,6,69,182,28,495
235,2022-04-01T00:00:00,36,3,63,143,28,504
236,2022-04-02T00:00:00,29,3,65,142,27,545
237,2022-04-03T00:00:00,33,2,83,141,21,557
238,2022-04-04T00:00:00,31,4,65,158,24,616
239,2022-04-05T00:00:00,34,4,68,188,33,698
240,2022-04-06T00:00:00,27,2,71,181,30,700
241,2022-04-07T00:00:00,29,3,68,185,28,726
242,2022-04-08T00:00:00,26,2,71,188,38,708
243,2022-04-09T00:00:00,30,3,66,176,45,792
244,2022-04-10T00:00:00,25,2,67,175,39,756
245,2022-04-11T00:00:00,29,2,69,182,45,833
246,2022-04-12T00:00:00,30,4,69,220,44,862
247,2022-04-13T00:00:00,30,6,70,201,37,879
248,2022-04-14T00:00:00,27,5,73,215,48,915
249,2022-04-15T00:00:00,30,8,72,207,49,961
250,2022-04-16T00:00:00,31,2,88,211,49,964
251,2022-04-17T00:00:00,24,4,83,213,55,955
252,2022-04-18T00:00:00,30,2,94,209,62,933
253,2022-04-19T00:00:00,31,3,87,206,69,1014
254,2022-04-20T00:00:00,34,6,90,226,78,1027
255,2022-04-21T00:00:00,33,4,85,223,81,1054
256,2022-04-22T00:00:00,29,1,103,232,67,1039
257,2022-04-23T00:00:00,28,6,88,233,66,1085
258,2022-04-24T00:00:00,28,5,81,211,69,1045
259,2022-04-25T00:00:00,31,6,90,217,72,1057
260,2022-04-26T00:00:00,27,4,102,237,76,1084
261,2022-04-27T00:00:00,29,5,112,228,66,1077
262,2022-04-28T00:00:00,28,7,105,237,80,1021
263,2022-04-29T00:00:00,30,8,95,229,69,1101
264,2022-04-30T00:00:00,27,8,88,258,66,1095
265,2022-05-01T00:00:00,30,6,95,254,64,1011
266,2022-05-02T00:00:00,23,9,73,255,80,1005
267,2022-05-03T00:00:00,27,7,90,253,76,1021
268,2022-05-04T00:00:00,30,5,81,240,66,1054
269,2022-05-05T00:00:00,30,4,85,228,80,1079
270,2022-05-06T00:00:00,33,9,89,227,79,1021
271,2022-05-07T00:00:00,33,11,85,228,73,990
272,2022-05-08T00:00:00,33,11,69,224,75,965
273,2022-05-09T00:00:00,33,8,81,227,68,899
274,2022-05-10T00:00:00,31,10,75,228,73,969
275,2022-05-11T00:00:00,25,10,76,249,66,957
276,2022-05-12T00:00:00,24,8,73,229,57,925
277,2022-05-13T00:00:00,24,11,63,208,51,936
278,2022-05-14T00:00:00,27,12,69,188,48,911
279,2022-05-15T00:00:00,26,8,61,166,43,870
280,2022-05-16T00:00:00,28,5,60,165,44,840
281,2022-05-17T00:00:00,25,11,67,174,52,842
282,2022-05-18T00:00:00,26,10,69,145,49,822
283,2022-05-19T00:00:00,22,7,74,133,51,790
284,2022-05-20T00:00:00,20,6,74,133,40,763
285,2022-05-21T00:00:00,18,8,73,137,35,714
286,2022-05-22T00:00:00,19,8,62,145,30,677
287,2022-05-23T00:00:00,24,8,69,135,37,705
288,2022-05-24T00:00:00,18,7,62,146,42,668
289,2022-05-25T00:00:00,16,7,69,159,37,676
290,2022-05-26T00:00:00,15,7,64,156,29,625
291,2022-05-27T00:00:00,17,8,62,136,34,576
292,2022-05-28T00:00:00,15,7,57,130,34,518
293,2022-05-29T00:00:00,14,4,60,107,32,466
294,2022-05-30T00:00:00,13,3,56,108,31,472
295,2022-05-31T00:00:00,15,2,56,105,34,480
296,2022-06-01T00:00:00,13,3,51,101,33,439
297,2022-06-02T00:00:00,10,6,61,89,27,428
298,2022-06-03T00:00:00,10,5,61,81,26,414
299,2022-06-04T00:00:00,10,4,60,76,35,412
300,2022-06-05T00:00:00,12,3,49,69,28,373
301,2022-06-06T00:00:00,9,3,51,74,25,346
302,2022-06-07T00:00:00,9,3,53,75,23,348
303,2022-06-08T00:00:00,9,3,42,59,26,356
304,2022-06-09T00:00:00,9,3,43,70,21,364
305,2022-06-10T00:00:00,14,1,39,67,22,337
306,2022-06-11T00:00:00,8,3,41,76,24,337
307,2022-06-12T00:00:00,6,2,42,59,16,306
308,2022-06-13T00:00:00,7,3,37,60,17,314
309,2022-06-14T00:00:00,9,7,37,68,16,320
310,2022-06-15T00:00:00,8,5,35,70,16,304
311,2022-06-16T00:00:00,12,6,34,67,18,298
312,2022-06-17T00:00:00,9,7,36,63,16,289
313,2022-06-18T00:00:00,8,6,35,67,12,302
314,2022-06-19T00:00:00,8,6,37,68,7,276
315,2022-06-20T00:00:00,8,6,34,72,9,271
316,2022-06-21T00:00:00,6,6,43,84,12,286
317,2022-06-22T00:00:00,7,8,38,75,16,278
318,2022-06-23T00:00:00,7,7,38,73,12,270
